id,recency,history,mens,womens,newbie,zip_code,channel,history_segment,segment,visit
27281,10,83.4,1,0,1,Surburban,Web,1) $0 - $100,No E-Mail,0
56309,2,561.33,0,1,1,Urban,Web,5) $500 - $750,No E-Mail,1
38350,10,134.52,0,1,0,Surburban,Web,2) $100 - $200,Mens E-Mail,0
10204,10,608.4,0,1,1,Rural,Multichannel,5) $500 - $750,Womens E-Mail,0
10922,1,626.25,0,1,1,Surburban,Multichannel,5) $500 - $750,Mens E-Mail,0
42592,3,57.2,0,1,0,Surburban,Phone,1) $0 - $100,No E-Mail,0
32309,2,230.74,0,1,1,Urban,Phone,3) $200 - $350,No E-Mail,0
10788,4,732.25,1,1,1,Surburban,Multichannel,5) $500 - $750,Mens E-Mail,0
50697,2,574.94,1,0,1,Urban,Web,5) $500 - $750,Womens E-Mail,1
53235,2,36.69,0,1,0,Surburban,Web,1) $0 - $100,No E-Mail,0
19669,2,93.95,1,0,0,Surburban,Web,1) $0 - $100,Womens E-Mail,0
26584,4,186.78,0,1,1,Surburban,Web,2) $100 - $200,No E-Mail,0
4636,11,44.21,1,0,0,Urban,Web,1) $0 - $100,Womens E-Mail,1
28816,6,1584.94,1,0,1,Surburban,Phone,"7) $1,000 +",Mens E-Mail,0
25087,1,377.27,0,1,0,Urban,Multichannel,4) $350 - $500,Womens E-Mail,1
23619,11,133.04,1,0,0,Rural,Web,2) $100 - $200,No E-Mail,0
55404,4,366.44,0,1,0,Surburban,Phone,4) $350 - $500,Mens E-Mail,0
48624,8,220.32,1,0,0,Surburban,Web,3) $200 - $350,Mens E-Mail,0
31487,9,29.94,1,0,0,Surburban,Web,1) $0 - $100,No E-Mail,0
49731,1,109.51,0,1,1,Surburban,Web,2) $100 - $200,Womens E-Mail,1
5675,1,222.72,1,1,1,Urban,Phone,3) $200 - $350,No E-Mail,0
42500,2,125.9,1,0,1,Surburban,Phone,2) $100 - $200,Womens E-Mail,0
31573,4,284.26,0,1,1,Rural,Web,3) $200 - $350,Mens E-Mail,0
1494,8,139.13,1,0,0,Rural,Web,2) $100 - $200,No E-Mail,0
39247,2,30.06,1,0,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
62397,3,275.02,0,1,0,Surburban,Multichannel,3) $200 - $350,Womens E-Mail,0
21341,2,1403.16,1,1,1,Surburban,Multichannel,"7) $1,000 +",Womens E-Mail,0
32574,3,201.46,0,1,0,Surburban,Web,3) $200 - $350,No E-Mail,0
846,7,30.06,0,1,1,Surburban,Phone,1) $0 - $100,No E-Mail,0
12137,1,189.52,0,1,1,Surburban,Web,2) $100 - $200,No E-Mail,0
35268,3,186.29,0,1,1,Urban,Web,2) $100 - $200,Womens E-Mail,0
7010,10,363.39,1,0,0,Urban,Phone,4) $350 - $500,Womens E-Mail,1
46050,2,610.26,1,0,1,Rural,Multichannel,5) $500 - $750,No E-Mail,0
16528,1,852.76,1,0,1,Urban,Web,"6) $750 - $1,000",Womens E-Mail,0
61342,5,125.77,1,0,0,Rural,Web,2) $100 - $200,Womens E-Mail,0
28512,9,90.44,1,0,1,Urban,Web,1) $0 - $100,Mens E-Mail,0
40794,10,456.66,1,1,0,Surburban,Phone,4) $350 - $500,No E-Mail,0
16258,10,244.52,0,1,0,Urban,Multichannel,3) $200 - $350,Mens E-Mail,0
20188,9,29.85,0,1,1,Rural,Phone,1) $0 - $100,Mens E-Mail,0
1526,1,212.46,0,1,0,Rural,Phone,3) $200 - $350,Womens E-Mail,0
16206,11,42.66,0,1,1,Rural,Web,1) $0 - $100,No E-Mail,0
11363,9,44.2,0,1,0,Urban,Web,1) $0 - $100,Womens E-Mail,0
51418,9,30.1,1,0,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
56127,9,67.95,0,1,0,Surburban,Web,1) $0 - $100,No E-Mail,1
13454,11,50.21,1,0,1,Urban,Web,1) $0 - $100,Mens E-Mail,1
35445,7,313.33,1,0,1,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
48856,2,83.56,0,1,0,Surburban,Web,1) $0 - $100,Mens E-Mail,1
56302,4,307.04,0,1,0,Surburban,Phone,3) $200 - $350,No E-Mail,0
1615,2,42.06,1,0,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
37792,7,63.63,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,1
58348,5,522.56,0,1,1,Urban,Phone,5) $500 - $750,Womens E-Mail,0
38987,11,388.21,1,1,0,Surburban,Web,4) $350 - $500,No E-Mail,0
4285,5,513.75,0,1,1,Surburban,Web,5) $500 - $750,Womens E-Mail,0
30085,3,767.54,1,1,1,Surburban,Phone,"6) $750 - $1,000",No E-Mail,0
36070,5,29.91,0,1,0,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
46297,6,88.3,0,1,1,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
14819,9,129.91,0,1,0,Surburban,Web,2) $100 - $200,Mens E-Mail,0
30984,2,52.19,0,1,0,Rural,Phone,1) $0 - $100,Womens E-Mail,1
54528,5,110.47,0,1,0,Urban,Web,2) $100 - $200,Mens E-Mail,0
22200,4,83.3,1,0,0,Urban,Web,1) $0 - $100,Womens E-Mail,0
27413,8,76.41,0,1,1,Urban,Phone,1) $0 - $100,No E-Mail,1
18653,2,30.02,0,1,1,Urban,Phone,1) $0 - $100,No E-Mail,0
38782,1,71.24,0,1,0,Urban,Web,1) $0 - $100,Womens E-Mail,0
12882,2,856.58,1,0,1,Urban,Web,"6) $750 - $1,000",No E-Mail,0
34172,9,150.89,1,0,0,Urban,Web,2) $100 - $200,Womens E-Mail,0
46492,2,268.1,1,0,0,Urban,Web,3) $200 - $350,Womens E-Mail,0
812,2,1353.67,1,1,1,Surburban,Multichannel,"7) $1,000 +",Womens E-Mail,0
53421,10,122.28,1,0,1,Rural,Phone,2) $100 - $200,No E-Mail,0
25605,10,268.8,1,0,0,Urban,Phone,3) $200 - $350,Mens E-Mail,1
31311,6,129.18,1,0,1,Surburban,Web,2) $100 - $200,Mens E-Mail,0
35598,3,619.6,1,1,1,Urban,Web,5) $500 - $750,No E-Mail,0
61350,2,415.55,1,1,1,Urban,Multichannel,4) $350 - $500,No E-Mail,0
16977,3,196.15,1,0,1,Urban,Phone,2) $100 - $200,No E-Mail,0
15561,2,621.32,1,1,1,Surburban,Phone,5) $500 - $750,Womens E-Mail,0
5557,11,29.84,0,1,1,Surburban,Phone,1) $0 - $100,Womens E-Mail,0
32211,4,284.31,1,0,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
15764,3,454.54,0,1,0,Urban,Multichannel,4) $350 - $500,Womens E-Mail,0
5619,2,117.11,0,1,0,Urban,Web,2) $100 - $200,No E-Mail,0
51551,1,159.79,1,0,1,Rural,Phone,2) $100 - $200,No E-Mail,1
29870,5,97.33,1,0,1,Urban,Phone,1) $0 - $100,Womens E-Mail,0
32606,1,287.3,1,1,0,Urban,Phone,3) $200 - $350,No E-Mail,0
41795,11,45.33,1,0,1,Urban,Phone,1) $0 - $100,No E-Mail,0
45563,8,141.75,0,1,0,Urban,Phone,2) $100 - $200,No E-Mail,0
60618,12,112.91,1,0,1,Urban,Web,2) $100 - $200,No E-Mail,0
10456,7,199.89,1,0,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
23135,10,365.98,1,0,1,Urban,Phone,4) $350 - $500,Mens E-Mail,0
41289,3,243.55,1,0,1,Surburban,Multichannel,3) $200 - $350,Mens E-Mail,1
15010,3,126.45,1,0,1,Urban,Phone,2) $100 - $200,No E-Mail,0
39528,12,79.16,0,1,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
39106,8,29.97,0,1,0,Urban,Web,1) $0 - $100,No E-Mail,0
39038,1,312.23,1,0,0,Rural,Web,3) $200 - $350,Womens E-Mail,1
54153,1,637.04,1,1,1,Urban,Phone,5) $500 - $750,Mens E-Mail,0
3281,3,235.09,0,1,1,Urban,Phone,3) $200 - $350,No E-Mail,0
33111,4,174.81,0,1,0,Surburban,Phone,2) $100 - $200,Womens E-Mail,0
36508,2,142.04,1,0,1,Surburban,Web,2) $100 - $200,Mens E-Mail,0
1833,7,202.54,1,1,0,Urban,Multichannel,3) $200 - $350,Womens E-Mail,0
60449,11,808.0,1,0,1,Rural,Multichannel,"6) $750 - $1,000",No E-Mail,1
52177,3,197.42,1,0,1,Urban,Phone,2) $100 - $200,Mens E-Mail,0
39021,2,581.42,0,1,1,Urban,Multichannel,5) $500 - $750,Womens E-Mail,0
35447,11,98.17,0,1,1,Surburban,Phone,1) $0 - $100,Womens E-Mail,0
57217,9,132.78,0,1,0,Surburban,Web,2) $100 - $200,No E-Mail,0
8001,5,160.66,0,1,1,Urban,Phone,2) $100 - $200,No E-Mail,1
23160,1,175.87,0,1,0,Urban,Web,2) $100 - $200,Mens E-Mail,1
9313,1,86.0,1,0,1,Surburban,Phone,1) $0 - $100,No E-Mail,0
29843,5,70.24,0,1,1,Urban,Web,1) $0 - $100,Mens E-Mail,0
12702,3,167.47,1,0,0,Urban,Phone,2) $100 - $200,Womens E-Mail,0
56666,6,45.17,0,1,1,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
27359,10,29.97,1,0,1,Surburban,Web,1) $0 - $100,No E-Mail,0
45438,4,120.7,0,1,1,Urban,Web,2) $100 - $200,Womens E-Mail,0
42335,9,406.14,0,1,0,Rural,Phone,4) $350 - $500,Mens E-Mail,1
12172,5,30.06,1,0,1,Surburban,Phone,1) $0 - $100,No E-Mail,0
2503,10,93.26,1,0,0,Surburban,Web,1) $0 - $100,No E-Mail,0
19860,12,77.55,1,0,0,Surburban,Web,1) $0 - $100,No E-Mail,0
56426,12,996.97,1,1,1,Rural,Multichannel,"7) $1,000 +",Mens E-Mail,1
5586,2,30.02,0,1,0,Urban,Web,1) $0 - $100,No E-Mail,0
17423,9,387.8,0,1,1,Surburban,Multichannel,4) $350 - $500,Mens E-Mail,0
29333,6,81.18,1,0,1,Urban,Phone,1) $0 - $100,No E-Mail,0
22585,5,59.36,1,0,0,Surburban,Phone,1) $0 - $100,Womens E-Mail,0
62644,2,112.02,1,0,0,Surburban,Web,2) $100 - $200,Mens E-Mail,0
42726,2,44.88,1,0,0,Surburban,Phone,1) $0 - $100,Womens E-Mail,0
54669,2,667.42,1,1,1,Surburban,Multichannel,5) $500 - $750,Mens E-Mail,0
22856,2,93.38,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,1
29045,4,549.58,0,1,1,Urban,Web,5) $500 - $750,No E-Mail,0
53462,6,106.14,0,1,0,Surburban,Phone,2) $100 - $200,Womens E-Mail,0
8938,3,30.22,1,0,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
3702,2,161.08,1,0,1,Surburban,Phone,2) $100 - $200,No E-Mail,0
40963,10,29.81,1,0,0,Urban,Phone,1) $0 - $100,No E-Mail,0
30639,3,335.34,0,1,0,Surburban,Web,3) $200 - $350,No E-Mail,0
49447,8,88.06,0,1,0,Rural,Phone,1) $0 - $100,No E-Mail,0
6207,12,93.65,1,0,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
26642,9,530.27,1,1,1,Surburban,Phone,5) $500 - $750,Mens E-Mail,0
43909,10,347.34,1,0,1,Urban,Multichannel,3) $200 - $350,Womens E-Mail,0
44963,10,126.95,1,0,0,Rural,Web,2) $100 - $200,No E-Mail,1
54686,3,73.43,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
37827,7,217.12,0,1,0,Surburban,Web,3) $200 - $350,Womens E-Mail,0
51819,10,61.06,1,0,1,Urban,Web,1) $0 - $100,No E-Mail,0
50077,11,60.64,0,1,0,Urban,Phone,1) $0 - $100,Mens E-Mail,0
14728,8,332.06,0,1,0,Surburban,Phone,3) $200 - $350,No E-Mail,0
14383,7,301.97,0,1,0,Urban,Web,3) $200 - $350,No E-Mail,0
14933,4,126.67,1,0,1,Surburban,Phone,2) $100 - $200,Womens E-Mail,0
33094,2,316.55,1,0,1,Urban,Web,3) $200 - $350,Womens E-Mail,0
21085,3,194.25,0,1,0,Surburban,Web,2) $100 - $200,Mens E-Mail,1
31196,10,241.43,1,0,0,Surburban,Web,3) $200 - $350,No E-Mail,0
44433,10,271.25,1,0,0,Rural,Multichannel,3) $200 - $350,Womens E-Mail,0
38493,2,330.78,1,0,0,Rural,Phone,3) $200 - $350,Womens E-Mail,0
50418,2,29.86,1,0,0,Rural,Phone,1) $0 - $100,Mens E-Mail,0
29528,1,617.44,1,1,1,Surburban,Phone,5) $500 - $750,Mens E-Mail,0
45086,9,215.75,0,1,1,Surburban,Web,3) $200 - $350,No E-Mail,0
30533,8,95.46,0,1,0,Surburban,Web,1) $0 - $100,No E-Mail,0
56534,12,100.27,1,0,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
62806,7,237.1,0,1,0,Surburban,Web,3) $200 - $350,Mens E-Mail,0
36472,8,244.56,0,1,1,Urban,Web,3) $200 - $350,Womens E-Mail,0
62035,5,110.59,0,1,1,Rural,Web,2) $100 - $200,Mens E-Mail,0
25371,10,166.52,1,0,1,Surburban,Web,2) $100 - $200,Mens E-Mail,0
54532,3,544.81,0,1,1,Urban,Web,5) $500 - $750,Mens E-Mail,0
9438,10,56.86,1,0,0,Urban,Web,1) $0 - $100,Mens E-Mail,0
595,7,30.19,1,0,1,Surburban,Phone,1) $0 - $100,No E-Mail,0
53281,3,422.03,1,0,0,Surburban,Phone,4) $350 - $500,No E-Mail,0
36731,8,46.87,0,1,1,Urban,Web,1) $0 - $100,No E-Mail,0
42286,12,62.93,1,0,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
24707,3,30.03,0,1,1,Urban,Phone,1) $0 - $100,Womens E-Mail,1
17300,6,632.18,0,1,1,Urban,Multichannel,5) $500 - $750,No E-Mail,0
19095,10,286.46,1,1,0,Surburban,Phone,3) $200 - $350,Womens E-Mail,0
21838,2,123.73,0,1,1,Urban,Web,2) $100 - $200,No E-Mail,1
62939,8,58.35,0,1,0,Urban,Phone,1) $0 - $100,Mens E-Mail,0
188,5,55.9,1,0,1,Surburban,Multichannel,1) $0 - $100,No E-Mail,0
40864,3,88.03,0,1,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
25561,2,591.32,0,1,1,Rural,Multichannel,5) $500 - $750,Mens E-Mail,0
6273,6,422.86,1,0,0,Urban,Multichannel,4) $350 - $500,No E-Mail,0
21033,9,52.95,1,0,0,Surburban,Web,1) $0 - $100,No E-Mail,1
1742,4,29.9,0,1,1,Urban,Web,1) $0 - $100,Mens E-Mail,0
50048,9,30.04,0,1,1,Rural,Phone,1) $0 - $100,Mens E-Mail,0
53653,9,31.31,1,0,1,Surburban,Web,1) $0 - $100,Mens E-Mail,1
14520,3,29.88,1,0,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
3652,12,109.16,1,0,0,Surburban,Phone,2) $100 - $200,No E-Mail,0
56166,5,85.13,0,1,0,Urban,Phone,1) $0 - $100,No E-Mail,1
53151,8,270.39,1,1,1,Urban,Phone,3) $200 - $350,No E-Mail,0
62915,3,194.51,0,1,0,Urban,Web,2) $100 - $200,No E-Mail,0
9793,6,122.83,1,0,0,Surburban,Web,2) $100 - $200,Mens E-Mail,1
44493,4,99.85,0,1,1,Surburban,Phone,2) $100 - $200,No E-Mail,0
62851,10,38.68,0,1,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
56330,1,29.73,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
24003,3,44.34,1,0,0,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
57493,12,200.64,0,1,0,Urban,Phone,2) $100 - $200,Womens E-Mail,0
30002,4,51.14,0,1,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
63271,4,198.06,0,1,0,Surburban,Phone,2) $100 - $200,Mens E-Mail,1
61561,5,30.27,1,0,0,Surburban,Web,1) $0 - $100,No E-Mail,0
27094,1,183.73,1,0,1,Surburban,Web,2) $100 - $200,Womens E-Mail,0
56696,4,72.74,0,1,1,Rural,Phone,1) $0 - $100,Womens E-Mail,0
45723,12,548.75,1,1,1,Surburban,Web,5) $500 - $750,No E-Mail,1
56710,7,30.04,1,0,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
17073,12,74.36,0,1,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
62549,3,88.2,0,1,0,Surburban,Web,1) $0 - $100,Womens E-Mail,0
9699,9,51.62,0,1,1,Urban,Web,1) $0 - $100,Mens E-Mail,0
63765,6,158.63,0,1,0,Urban,Web,2) $100 - $200,Womens E-Mail,0
23085,10,126.92,0,1,1,Urban,Phone,2) $100 - $200,No E-Mail,0
13335,2,84.21,0,1,0,Urban,Phone,1) $0 - $100,Womens E-Mail,0
48561,10,62.84,1,0,1,Urban,Phone,1) $0 - $100,Womens E-Mail,0
21584,3,215.85,1,1,1,Surburban,Phone,3) $200 - $350,Womens E-Mail,0
58525,3,244.64,1,0,0,Rural,Phone,3) $200 - $350,Womens E-Mail,0
56153,6,39.97,0,1,0,Surburban,Web,1) $0 - $100,No E-Mail,0
51336,10,800.29,1,1,1,Rural,Phone,"6) $750 - $1,000",No E-Mail,1
52240,9,104.65,1,0,0,Surburban,Phone,2) $100 - $200,Womens E-Mail,0
18047,7,265.69,1,0,0,Urban,Phone,3) $200 - $350,Womens E-Mail,0
22996,8,81.73,1,0,1,Surburban,Phone,1) $0 - $100,No E-Mail,0
32022,6,179.15,1,0,0,Urban,Phone,2) $100 - $200,Womens E-Mail,1
35695,1,265.63,1,1,0,Surburban,Web,3) $200 - $350,Mens E-Mail,0
57161,11,111.97,0,1,1,Rural,Web,2) $100 - $200,Womens E-Mail,1
45491,11,86.92,0,1,0,Surburban,Web,1) $0 - $100,No E-Mail,1
26691,9,29.88,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
48021,1,169.57,0,1,0,Urban,Web,2) $100 - $200,Mens E-Mail,1
56764,6,893.14,1,0,1,Urban,Web,"6) $750 - $1,000",No E-Mail,0
41060,4,47.54,0,1,1,Urban,Web,1) $0 - $100,Mens E-Mail,0
56159,11,30.23,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,1
39028,7,113.76,1,0,0,Surburban,Web,2) $100 - $200,No E-Mail,0
43611,5,612.2,1,1,1,Urban,Phone,5) $500 - $750,Womens E-Mail,0
37318,8,35.86,1,0,0,Surburban,Web,1) $0 - $100,Womens E-Mail,0
26112,11,30.17,0,1,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
16297,5,72.28,1,0,1,Rural,Web,1) $0 - $100,Womens E-Mail,0
54650,4,158.33,1,0,0,Surburban,Web,2) $100 - $200,No E-Mail,0
61013,7,78.83,1,0,1,Urban,Web,1) $0 - $100,Womens E-Mail,0
12553,8,560.27,0,1,1,Urban,Web,5) $500 - $750,Mens E-Mail,0
28536,7,352.21,0,1,0,Surburban,Multichannel,4) $350 - $500,Mens E-Mail,1
61418,6,469.64,1,0,0,Surburban,Phone,4) $350 - $500,Womens E-Mail,0
52089,6,152.25,1,0,1,Urban,Web,2) $100 - $200,No E-Mail,0
12586,10,30.03,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
63948,6,288.23,0,1,0,Surburban,Web,3) $200 - $350,Mens E-Mail,0
7079,10,39.54,1,0,0,Rural,Web,1) $0 - $100,No E-Mail,1
14887,6,153.45,0,1,1,Surburban,Web,2) $100 - $200,Mens E-Mail,1
53951,2,47.4,1,0,0,Urban,Web,1) $0 - $100,Mens E-Mail,0
12523,11,547.21,1,0,1,Surburban,Multichannel,5) $500 - $750,Mens E-Mail,0
8833,3,67.3,1,0,1,Urban,Phone,1) $0 - $100,No E-Mail,0
31801,10,30.48,1,0,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
63825,2,106.88,1,0,1,Surburban,Phone,2) $100 - $200,Mens E-Mail,0
18285,2,54.54,1,0,1,Surburban,Web,1) $0 - $100,No E-Mail,1
17632,1,33.23,0,1,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
55600,2,185.63,1,0,1,Surburban,Web,2) $100 - $200,Womens E-Mail,0
13752,7,167.47,1,0,1,Urban,Phone,2) $100 - $200,No E-Mail,0
19008,1,375.68,0,1,0,Surburban,Multichannel,4) $350 - $500,Womens E-Mail,1
41686,9,260.96,1,0,1,Surburban,Phone,3) $200 - $350,No E-Mail,0
20946,1,623.31,1,0,1,Surburban,Phone,5) $500 - $750,Mens E-Mail,0
56450,1,447.93,1,0,1,Urban,Web,4) $350 - $500,No E-Mail,0
37624,11,173.08,1,0,1,Urban,Phone,2) $100 - $200,Womens E-Mail,1
57734,1,351.62,0,1,1,Rural,Phone,4) $350 - $500,Womens E-Mail,0
7943,1,421.63,1,1,0,Surburban,Multichannel,4) $350 - $500,Mens E-Mail,0
3587,11,97.91,1,0,1,Surburban,Phone,1) $0 - $100,Womens E-Mail,0
2067,3,102.07,1,0,1,Surburban,Phone,2) $100 - $200,No E-Mail,0
47385,4,30.08,1,0,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
47151,9,134.03,0,1,0,Urban,Web,2) $100 - $200,No E-Mail,0
7916,10,263.51,0,1,1,Urban,Web,3) $200 - $350,Womens E-Mail,0
14777,6,363.46,1,0,0,Urban,Web,4) $350 - $500,Mens E-Mail,0
30882,7,59.35,0,1,0,Urban,Phone,1) $0 - $100,Mens E-Mail,0
48510,10,181.2,0,1,0,Surburban,Web,2) $100 - $200,No E-Mail,0
28813,7,46.91,0,1,0,Surburban,Phone,1) $0 - $100,No E-Mail,0
44872,9,226.9,1,1,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
60834,3,1508.23,1,0,1,Surburban,Phone,"7) $1,000 +",Womens E-Mail,0
1302,9,340.09,1,0,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
59725,4,63.9,0,1,0,Surburban,Web,1) $0 - $100,Womens E-Mail,0
53894,10,624.77,1,1,1,Urban,Multichannel,5) $500 - $750,Womens E-Mail,0
48640,10,56.01,0,1,1,Urban,Phone,1) $0 - $100,No E-Mail,0
47264,12,186.4,1,0,1,Surburban,Web,2) $100 - $200,Womens E-Mail,0
8679,8,30.17,0,1,1,Surburban,Web,1) $0 - $100,Mens E-Mail,0
38527,7,131.66,0,1,0,Surburban,Web,2) $100 - $200,Womens E-Mail,0
30131,3,607.43,1,0,1,Urban,Phone,5) $500 - $750,Womens E-Mail,0
54537,8,60.16,1,0,0,Surburban,Phone,1) $0 - $100,No E-Mail,1
